User ID,Subscription Type,Monthly Revenue,Join Date,Month of Joining ,Year of Joining,Last Payment Date,Last Payment Year,Current Status ,Country,Age,Age group ,Gender,Device,Plan Duration
23,Standard,12,05-Dec-21,Dec,2021,27-06-2023,June,Active ,United Kingdom,49,Adult,Female,Smart TV,1 Month
24,Standard,12,03-Apr-22,Apr,2022,26-06-2023,June,Active ,Australia,31,Youth,Male,Tablet,1 Month
25,Basic,10,14-Mar-23,Mar,2023,28-06-2023,June,Active ,Germany,40,Adult,Female,Laptop,1 Month
26,Premium,15,12-Jan-22,Jan,2022,27-06-2023,June,Active ,France,29,Youth,Male,Smartphone,1 Month
27,Basic,10,29-Aug-22,Aug,2022,25-06-2023,June,Payment Pending,Brazil,47,Adult,Female,Smart TV,1 Month
28,Standard,12,27-Sep-21,Sep,2021,24-06-2023,June,Payment Pending,Mexico,33,Youth,Male,Tablet,1 Month
29,Premium,15,19-Dec-22,Dec,2022,23-06-2023,June,Payment Pending,Spain,36,Youth,Female,Laptop,1 Month
30,Basic,10,17-May-23,May,2023,22-06-2023,June,Payment Pending,Italy,42,Adult,Male,Smartphone,1 Month
31,Premium,15,03-Feb-23,Feb,2023,22-06-2023,June,Payment Pending,United States,28,Youth,Female,Smart TV,1 Month
32,Basic,10,07-Jul-22,Jul,2022,28-06-2023,June,Active ,Canada,37,Youth,Male,Tablet,1 Month
33,Standard,12,21-Jan-22,Jan,2022,27-06-2023,June,Active ,United Kingdom,41,Adult,Female,Laptop,1 Month
34,Standard,12,25-May-22,May,2022,26-06-2023,June,Active ,Australia,29,Youth,Male,Smartphone,1 Month
35,Basic,10,11-Apr-23,Apr,2023,28-06-2023,June,Active ,Germany,39,Adult,Female,Smart TV,1 Month
36,Premium,15,01-Mar-22,Mar,2022,27-06-2023,June,Active ,France,35,Youth,Male,Tablet,1 Month
37,Basic,10,14-Sep-22,Sep,2022,25-06-2023,June,Payment Pending,Brazil,45,Adult,Female,Laptop,1 Month
38,Standard,12,05-Nov-21,Nov,2021,24-06-2023,June,Payment Pending,Mexico,32,Youth,Male,Smartphone,1 Month
39,Premium,15,28-Dec-22,Dec,2022,23-06-2023,June,Payment Pending,Spain,27,Youth,Female,Smart TV,1 Month
40,Basic,10,07-Mar-23,Mar,2023,22-06-2023,June,Payment Pending,Italy,48,Adult,Male,Tablet,1 Month
41,Premium,15,20-Jan-23,Jan,2023,22-06-2023,June,Payment Pending,United States,31,Youth,Female,Laptop,1 Month
42,Basic,10,15-Jun-22,Jun,2022,28-06-2023,June,Active ,Canada,40,Adult,Male,Smartphone,1 Month
43,Standard,12,07-Feb-22,Feb,2022,27-06-2023,June,Active ,United Kingdom,36,Youth,Female,Smart TV,1 Month
44,Standard,12,26-Apr-22,Apr,2022,26-06-2023,June,Active ,Australia,29,Youth,Male,Tablet,1 Month
45,Basic,10,28-Jan-23,Jan,2023,28-06-2023,June,Active ,Germany,43,Adult,Female,Laptop,1 Month
46,Premium,15,23-Feb-22,Feb,2022,27-06-2023,June,Active ,France,34,Youth,Male,Smartphone,1 Month
47,Basic,10,05-Oct-22,Oct,2022,25-06-2023,June,Payment Pending,Brazil,39,Adult,Female,Smart TV,1 Month
48,Standard,12,15-Sep-21,Sep,2021,24-06-2023,June,Payment Pending,Mexico,32,Youth,Male,Tablet,1 Month
49,Premium,15,10-Nov-22,Nov,2022,23-06-2023,June,Payment Pending,Spain,28,Youth,Female,Laptop,1 Month
50,Basic,10,02-Jun-23,Jun,2023,22-06-2023,June,Payment Pending,Italy,45,Adult,Male,Smartphone,1 Month
51,Premium,15,27-Feb-23,Feb,2023,22-06-2023,June,Payment Pending,United States,30,Youth,Female,Smart TV,1 Month
52,Basic,10,29-Aug-22,Aug,2022,28-06-2023,June,Payment Pending,Canada,37,Youth,Male,Tablet,1 Month
53,Standard,12,13-Jan-22,Jan,2022,27-06-2023,June,Active ,United Kingdom,41,Adult,Female,Laptop,1 Month
54,Standard,12,30-Jun-22,Jun,2022,26-06-2023,June,Active ,Australia,29,Youth,Male,Smartphone,1 Month
55,Basic,10,20-Apr-23,Apr,2023,28-06-2023,June,Active ,Germany,39,Adult,Female,Smart TV,1 Month
56,Premium,15,15-Mar-22,Mar,2022,27-06-2023,June,Active ,France,36,Youth,Male,Tablet,1 Month
57,Basic,10,01-Oct-22,Oct,2022,25-06-2023,June,Payment Pending,Brazil,46,Adult,Female,Laptop,1 Month
58,Standard,12,08-Oct-21,Oct,2021,24-06-2023,June,Payment Pending,Mexico,34,Youth,Male,Smartphone,1 Month
59,Premium,15,03-Dec-22,Dec,2022,23-06-2023,June,Payment Pending,Spain,27,Youth,Female,Smart TV,1 Month
60,Basic,10,14-Jun-23,Jun,2023,22-06-2023,June,Payment Pending,Italy,42,Adult,Male,Tablet,1 Month
61,Premium,15,08-Feb-23,Feb,2023,22-06-2023,June,Payment Pending,United States,28,Youth,Female,Laptop,1 Month
62,Basic,10,03-Aug-22,Aug,2022,28-06-2023,June,Active ,Canada,37,Youth,Male,Smartphone,1 Month
63,Standard,12,23-Feb-22,Feb,2022,27-06-2023,June,Active ,United Kingdom,41,Adult,Female,Smart TV,1 Month
64,Standard,12,20-Jun-22,Jun,2022,26-06-2023,June,Active ,Australia,29,Youth,Male,Tablet,1 Month
65,Basic,10,29-Mar-23,Mar,2023,28-06-2023,June,Active ,Germany,40,Adult,Female,Laptop,1 Month
66,Premium,15,30-Jan-22,Jan,2022,27-06-2023,June,Active ,France,29,Youth,Male,Smartphone,1 Month
67,Basic,10,18-Sep-22,Sep,2022,25-06-2023,June,Payment Pending,Brazil,47,Adult,Female,Smart TV,1 Month
68,Standard,12,09-Nov-21,Nov,2021,24-06-2023,June,Payment Pending,Mexico,33,Youth,Male,Tablet,1 Month
69,Premium,15,23-Dec-22,Dec,2022,23-06-2023,June,Payment Pending,Spain,36,Youth,Female,Laptop,1 Month
70,Basic,10,08-May-23,May,2023,22-06-2023,June,Payment Pending,Italy,41,Adult,Male,Smartphone,1 Month
71,Basic,10,26-Jan-22,Jan,2022,20-06-2023,June,Payment Pending,United States,27,Youth,Male,Smartphone,1 Month
72,Basic,10,11-Oct-22,Oct,2022,22-06-2023,June,Payment Pending,Canada,31,Youth,Female,Smartphone,1 Month
73,Standard,12,27-Sep-22,Sep,2022,26-06-2023,June,Active ,United Kingdom,28,Youth,Female,Laptop,1 Month
74,Premium,13,14-Dec-22,Dec,2022,25-06-2023,June,Payment Pending,Australia,41,Adult,Female,Smartphone,1 Month
75,Basic,13,28-May-22,May,2022,26-06-2023,June,Active ,Germany,28,Youth,Female,Laptop,1 Month
76,Basic,13,29-Dec-21,Dec,2021,26-06-2023,June,Active ,France,51,Adult,Female,Laptop,1 Month
77,Premium,15,25-Dec-22,Dec,2022,23-06-2023,June,Payment Pending,Brazil,45,Adult,Female,Smartphone,1 Month
78,Standard,15,18-Nov-22,Nov,2022,28-06-2023,June,Active ,Mexico,49,Adult,Male,Tablet,1 Month
79,Standard,15,03-Dec-22,Dec,2022,25-06-2023,June,Payment Pending,Spain,43,Adult,Female,Laptop,1 Month
80,Basic,12,08-Nov-22,Nov,2022,22-06-2023,June,Payment Pending,Italy,43,Adult,Male,Tablet,1 Month
81,Premium,10,11-Jan-23,Jan,2023,24-06-2023,June,Payment Pending,United States,37,Youth,Male,Tablet,1 Month
82,Standard,12,07-Dec-22,Dec,2022,28-06-2023,June,Active ,Canada,35,Youth,Male,Laptop,1 Month
83,Basic,10,20-Oct-22,Oct,2022,26-06-2023,June,Active ,United Kingdom,46,Adult,Female,Smartphone,1 Month
84,Standard,12,13-Apr-23,Apr,2023,25-06-2023,June,Payment Pending,Australia,32,Youth,Male,Smartphone,1 Month
85,Premium,10,06-Apr-23,Apr,2023,27-06-2023,June,Active ,Germany,37,Youth,Female,Laptop,1 Month
86,Basic,11,04-Mar-22,Mar,2022,25-06-2023,June,Payment Pending,France,29,Youth,Female,Smartphone,1 Month
87,Premium,15,28-Dec-21,Dec,2021,23-06-2023,June,Payment Pending,Brazil,45,Adult,Male,Smart TV,1 Month
88,Standard,12,27-Sep-22,Sep,2022,28-06-2023,June,Active ,Mexico,47,Adult,Male,Tablet,1 Month
89,Basic,15,20-Oct-22,Oct,2022,26-06-2023,June,Active ,Spain,39,Adult,Male,Smartphone,1 Month
90,Standard,13,03-Feb-23,Feb,2023,23-06-2023,June,Payment Pending,Italy,49,Adult,Female,Smartphone,1 Month
91,Premium,11,03-Oct-22,Oct,2022,23-06-2023,June,Payment Pending,United States,39,Adult,Male,Tablet,1 Month
92,Basic,14,05-Jan-22,Jan,2022,28-06-2023,June,Active ,Canada,39,Adult,Male,Smart TV,1 Month
93,Standard,12,05-Feb-22,Feb,2022,26-06-2023,June,Active ,United Kingdom,35,Youth,Male,Smartphone,1 Month
94,Premium,12,19-Mar-22,Mar,2022,25-06-2023,June,Payment Pending,Australia,44,Adult,Male,Smartphone,1 Month
95,Basic,11,28-Feb-22,Feb,2022,25-06-2023,June,Payment Pending,Germany,34,Youth,Male,Laptop,1 Month
96,Premium,14,26-Jul-22,Jul,2022,24-06-2023,June,Payment Pending,France,32,Youth,Male,Laptop,1 Month
97,Basic,10,05-Mar-22,Mar,2022,24-06-2023,June,Payment Pending,Brazil,29,Youth,Female,Tablet,1 Month
98,Standard,13,07-Mar-22,Mar,2022,28-06-2023,June,Active ,Mexico,31,Youth,Female,Tablet,1 Month
99,Standard,12,13-Jan-23,Jan,2023,24-06-2023,June,Payment Pending,Spain,29,Youth,Female,Tablet,1 Month
100,Basic,12,22-Jan-23,Jan,2023,25-06-2023,June,Payment Pending,Italy,35,Youth,Male,Laptop,1 Month
101,Premium,11,17-Oct-22,Oct,2022,24-06-2023,June,Payment Pending,United States,46,Adult,Female,Tablet,1 Month
102,Basic,12,29-Mar-22,Mar,2022,28-06-2023,June,Active ,Canada,31,Youth,Male,Tablet,1 Month
103,Standard,13,04-Apr-22,Apr,2022,26-06-2023,June,Active ,United Kingdom,36,Youth,Male,Laptop,1 Month
104,Premium,10,08-Jun-22,Jun,2022,25-06-2023,June,Payment Pending,Australia,38,Adult,Male,Laptop,1 Month
105,Basic,11,04-Mar-22,Mar,2022,27-06-2023,June,Active ,Germany,46,Adult,Female,Laptop,1 Month
106,Premium,10,18-Mar-22,Mar,2022,24-06-2023,June,Payment Pending,France,49,Adult,Female,Tablet,1 Month
107,Basic,14,07-Mar-22,Mar,2022,24-06-2023,June,Payment Pending,Brazil,29,Youth,Female,Smart TV,1 Month
108,Standard,12,24-May-22,May,2022,25-06-2023,June,Payment Pending,Mexico,27,Youth,Female,Smart TV,1 Month
109,Standard,13,08-Feb-23,Feb,2023,25-06-2023,June,Payment Pending,Spain,35,Youth,Female,Tablet,1 Month
110,Basic,13,26-Jan-23,Jan,2023,24-06-2023,June,Payment Pending,Italy,37,Youth,Female,Laptop,1 Month
111,Premium,14,14-Jul-22,Jul,2022,27-06-2023,June,Active ,United States,40,Adult,Male,Tablet,1 Month
112,Basic,10,01-Jun-22,Jun,2022,28-06-2023,June,Active ,Canada,33,Youth,Female,Laptop,1 Month
113,Standard,15,07-May-22,May,2022,26-06-2023,June,Active ,United Kingdom,37,Youth,Male,Tablet,1 Month
114,Premium,10,18-Nov-22,Nov,2022,25-06-2023,June,Payment Pending,Australia,48,Adult,Male,Smartphone,1 Month
115,Basic,11,05-Apr-22,Apr,2022,25-06-2023,June,Payment Pending,Germany,50,Adult,Female,Laptop,1 Month
116,Premium,14,19-May-22,May,2022,23-06-2023,June,Payment Pending,France,45,Adult,Female,Smart TV,1 Month
117,Basic,15,30-Oct-21,Oct,2021,23-06-2023,June,Payment Pending,Brazil,40,Adult,Female,Tablet,1 Month
118,Standard,12,07-Aug-22,Aug,2022,27-06-2023,June,Active ,Mexico,33,Youth,Male,Smartphone,1 Month
119,Standard,11,20-Sep-22,Sep,2022,25-06-2023,June,Payment Pending,Spain,44,Adult,Female,Smartphone,1 Month
120,Basic,10,18-Oct-22,Oct,2022,25-06-2023,June,Payment Pending,Italy,30,Youth,Female,Smart TV,1 Month
121,Premium,15,03-Oct-22,Oct,2022,24-06-2023,June,Payment Pending,United States,27,Youth,Male,Smart TV,1 Month
122,Basic,11,03-May-22,May,2022,28-06-2023,June,Payment Pending,Canada,51,Adult,Male,Smart TV,1 Month
123,Standard,13,25-May-22,May,2022,26-06-2023,June,Active ,United Kingdom,49,Adult,Female,Smartphone,1 Month
124,Premium,15,05-Nov-22,Nov,2022,25-06-2023,June,Payment Pending,Australia,43,Adult,Male,Laptop,1 Month
125,Basic,12,21-Aug-22,Aug,2022,24-06-2023,June,Payment Pending,Germany,42,Adult,Male,Smartphone,1 Month
126,Premium,13,21-Sep-22,Sep,2022,23-06-2023,June,Payment Pending,France,45,Adult,Male,Laptop,1 Month
127,Basic,10,23-Nov-21,Nov,2021,23-06-2023,June,Payment Pending,Brazil,36,Youth,Male,Smartphone,1 Month
128,Standard,12,06-Oct-22,Oct,2022,27-06-2023,June,Active ,Mexico,48,Adult,Male,Smartphone,1 Month
129,Standard,13,05-Nov-22,Nov,2022,23-06-2023,June,Payment Pending,Spain,38,Adult,Male,Smart TV,1 Month
130,Basic,14,07-Jan-23,Jan,2023,23-06-2023,June,Payment Pending,Italy,43,Adult,Female,Tablet,1 Month
131,Premium,15,06-Oct-22,Oct,2022,23-06-2023,June,Payment Pending,United States,47,Adult,Male,Laptop,1 Month
132,Basic,15,24-Jun-22,Jun,2022,28-06-2023,June,Payment Pending,Canada,48,Adult,Female,Smart TV,1 Month
133,Standard,13,24-Jun-22,Jun,2022,26-06-2023,June,Active ,United Kingdom,47,Adult,Male,Smart TV,1 Month
134,Premium,15,05-Nov-22,Nov,2022,25-06-2023,June,Payment Pending,Australia,32,Youth,Male,Tablet,1 Month
135,Basic,13,18-Jul-22,Jul,2022,26-06-2023,June,Payment Pending,Germany,47,Adult,Female,Smart TV,1 Month
136,Premium,12,13-Sep-22,Sep,2022,26-06-2023,June,Payment Pending,France,41,Adult,Female,Smart TV,1 Month
137,Basic,12,10-Aug-22,Aug,2022,22-06-2023,June,Payment Pending,Brazil,49,Adult,Male,Laptop,1 Month
138,Standard,15,21-Sep-22,Sep,2022,23-06-2023,June,Payment Pending,Mexico,28,Youth,Male,Laptop,1 Month
139,Standard,13,24-Mar-23,Mar,2023,23-06-2023,June,Payment Pending,Spain,40,Adult,Male,Smartphone,1 Month
140,Basic,12,02-May-22,May,2022,23-06-2023,June,Payment Pending,Italy,43,Adult,Female,Smartphone,1 Month
141,Premium,12,11-May-22,May,2022,27-06-2023,June,Active ,United States,42,Adult,Male,Smartphone,1 Month
142,Basic,14,10-Jun-22,Jun,2022,22-06-2023,June,Payment Pending,Canada,28,Youth,Male,Smart TV,1 Month
143,Standard,14,31-Aug-22,Aug,2022,24-06-2023,June,Payment Pending,United Kingdom,30,Youth,Female,Tablet,1 Month
144,Premium,10,17-Aug-22,Aug,2022,26-06-2023,June,Active ,Australia,33,Youth,Male,Smart TV,1 Month
145,Basic,11,05-May-22,May,2022,26-06-2023,June,Active ,Germany,35,Youth,Female,Laptop,1 Month
146,Basic,10,06-Oct-22,Oct,2022,25-06-2023,June,Payment Pending,France,38,Adult,Male,Tablet,1 Month
147,Basic,12,08-Nov-22,Nov,2022,24-06-2023,June,Payment Pending,Brazil,49,Adult,Female,Laptop,1 Month
148,Standard,15,27-Nov-22,Nov,2022,28-06-2023,June,Active ,Mexico,39,Adult,Female,Smartphone,1 Month
149,Premium,13,17-Nov-22,Nov,2022,27-06-2023,June,Active ,Spain,46,Adult,Female,Smart TV,1 Month
150,Basic,10,15-Dec-22,Dec,2022,23-06-2023,June,Payment Pending,Italy,47,Adult,Female,Laptop,1 Month
151,Basic,15,12-Dec-22,Dec,2022,25-06-2023,June,Payment Pending,United States,30,Youth,Female,Laptop,1 Month
152,Premium,14,23-Nov-22,Nov,2022,27-06-2023,June,Active ,Canada,33,Youth,Female,Tablet,1 Month
153,Standard,11,25-Dec-22,Dec,2022,24-06-2023,June,Payment Pending,United Kingdom,47,Adult,Male,Smartphone,1 Month
154,Standard,11,11-Mar-23,Mar,2023,27-06-2023,June,Active ,Australia,27,Youth,Male,Laptop,1 Month
155,Basic,14,18-Nov-22,Nov,2022,27-06-2023,June,Active ,Germany,28,Youth,Male,Tablet,1 Month
156,Premium,15,19-Aug-22,Aug,2022,25-06-2023,June,Payment Pending,France,47,Adult,Male,Smartphone,1 Month
157,Standard,14,27-Sep-22,Sep,2022,24-06-2023,June,Payment Pending,Brazil,30,Youth,Male,Laptop,1 Month
158,Basic,13,19-Oct-22,Oct,2022,28-06-2023,June,Active ,Mexico,47,Adult,Female,Smartphone,1 Month
159,Standard,10,21-Dec-22,Dec,2022,26-06-2023,June,Active ,Spain,51,Adult,Female,Smart TV,1 Month
160,Premium,15,27-Oct-22,Oct,2022,25-06-2023,June,Payment Pending,Italy,39,Adult,Male,Smartphone,1 Month
161,Basic,10,23-Oct-22,Oct,2022,24-06-2023,June,Payment Pending,United States,45,Adult,Male,Tablet,1 Month
162,Premium,15,19-Apr-22,Apr,2022,25-06-2023,June,Payment Pending,Canada,31,Youth,Male,Laptop,1 Month
163,Standard,11,05-Apr-22,Apr,2022,26-06-2023,June,Active ,United Kingdom,29,Youth,Male,Laptop,1 Month
164,Basic,11,11-Mar-22,Mar,2022,26-06-2023,June,Active ,Australia,42,Adult,Female,Tablet,1 Month
165,Standard,14,25-May-22,May,2022,25-06-2023,June,Payment Pending,Germany,49,Adult,Male,Tablet,1 Month
166,Premium,13,16-Apr-22,Apr,2022,26-06-2023,June,Active ,France,42,Adult,Male,Laptop,1 Month
167,Basic,13,07-Apr-22,Apr,2022,24-06-2023,June,Payment Pending,Brazil,29,Youth,Male,Smartphone,1 Month
168,Standard,10,11-Dec-22,Dec,2022,28-06-2023,June,Active ,Mexico,29,Youth,Male,Tablet,1 Month
169,Premium,12,20-Jan-23,Jan,2023,26-06-2023,June,Active ,Spain,49,Adult,Male,Tablet,1 Month
170,Basic,14,12-Jan-23,Jan,2023,25-06-2023,June,Payment Pending,Italy,32,Youth,Male,Laptop,1 Month
171,Premium,11,29-Apr-22,Apr,2022,24-06-2023,June,Payment Pending,United States,35,Youth,Female,Tablet,1 Month
172,Basic,12,27-Apr-22,Apr,2022,26-06-2023,June,Active ,Canada,39,Adult,Female,Smartphone,1 Month
173,Standard,15,03-Jun-22,Jun,2022,25-06-2023,June,Payment Pending,United Kingdom,40,Adult,Male,Smartphone,1 Month
174,Standard,14,23-Apr-22,Apr,2022,25-06-2023,June,Payment Pending,Australia,39,Adult,Female,Tablet,1 Month
175,Basic,10,22-Apr-22,Apr,2022,26-06-2023,June,Active ,Germany,47,Adult,Female,Laptop,1 Month
176,Premium,13,12-Apr-22,Apr,2022,25-06-2023,June,Payment Pending,France,37,Youth,Female,Smart TV,1 Month
177,Basic,15,23-May-22,May,2022,26-06-2023,June,Active ,Brazil,27,Youth,Female,Smartphone,1 Month
178,Standard,13,19-Oct-22,Oct,2022,26-06-2023,June,Active ,Mexico,49,Adult,Female,Laptop,1 Month
179,Premium,10,03-Dec-22,Dec,2022,26-06-2023,June,Active ,Spain,30,Youth,Female,Tablet,1 Month
180,Basic,14,26-Sep-22,Sep,2022,25-06-2023,June,Payment Pending,Italy,36,Youth,Male,Laptop,1 Month
181,Premium,15,16-Jun-22,Jun,2022,27-06-2023,June,Active ,United States,33,Youth,Male,Smartphone,1 Month
182,Basic,13,16-May-22,May,2022,25-06-2023,June,Payment Pending,Canada,30,Youth,Female,Laptop,1 Month
183,Standard,15,26-May-22,May,2022,26-06-2023,June,Active ,United Kingdom,36,Youth,Female,Tablet,1 Month
184,Standard,13,26-Apr-22,Apr,2022,25-06-2023,June,Payment Pending,Australia,28,Youth,Female,Laptop,1 Month
185,Basic,11,12-May-22,May,2022,25-06-2023,June,Payment Pending,Germany,47,Adult,Female,Tablet,1 Month
186,Premium,12,01-Mar-22,Mar,2022,25-06-2023,June,Payment Pending,France,33,Youth,Female,Smart TV,1 Month
187,Basic,13,10-Jul-22,Jul,2022,24-06-2023,June,Payment Pending,Brazil,49,Adult,Female,Laptop,1 Month
188,Standard,15,16-Jul-22,Jul,2022,27-06-2023,June,Active ,Mexico,44,Adult,Female,Smart TV,1 Month
189,Premium,13,02-Sep-22,Sep,2022,26-06-2023,June,Active ,Spain,47,Adult,Male,Smart TV,1 Month
190,Basic,11,18-Sep-22,Sep,2022,26-06-2023,June,Active ,Italy,37,Youth,Female,Tablet,1 Month
191,Premium,10,08-Jul-22,Jul,2022,25-06-2023,June,Payment Pending,United States,46,Adult,Male,Laptop,1 Month
192,Basic,14,26-Jun-22,Jun,2022,27-06-2023,June,Active ,Canada,50,Adult,Female,Smartphone,1 Month
193,Standard,11,05-Aug-22,Aug,2022,25-06-2023,June,Payment Pending,United Kingdom,50,Adult,Male,Laptop,1 Month
194,Standard,14,19-Aug-22,Aug,2022,27-06-2023,June,Active ,Australia,37,Youth,Male,Laptop,1 Month
195,Basic,11,26-Aug-22,Aug,2022,24-06-2023,June,Payment Pending,Germany,50,Adult,Female,Smartphone,1 Month
196,Premium,13,09-Jun-22,Jun,2022,24-06-2023,June,Payment Pending,France,45,Adult,Female,Smart TV,1 Month
197,Basic,14,27-Sep-22,Sep,2022,23-06-2023,June,Payment Pending,Brazil,45,Adult,Male,Tablet,1 Month
198,Standard,10,18-Oct-22,Oct,2022,27-06-2023,June,Active ,Mexico,49,Adult,Female,Laptop,1 Month
199,Premium,14,31-Oct-22,Oct,2022,25-06-2023,June,Payment Pending,Spain,39,Adult,Female,Tablet,1 Month
200,Basic,11,13-Oct-22,Oct,2022,25-06-2023,June,Payment Pending,Italy,45,Adult,Female,Tablet,1 Month
201,Premium,11,04-Jul-22,Jul,2022,27-06-2023,June,Active ,United States,49,Adult,Female,Smart TV,1 Month
202,Basic,12,26-Jun-22,Jun,2022,27-06-2023,June,Active ,Canada,31,Youth,Female,Tablet,1 Month
203,Standard,13,31-Jul-22,Jul,2022,24-06-2023,June,Payment Pending,United Kingdom,42,Adult,Female,Smart TV,1 Month
204,Standard,12,27-Jul-22,Jul,2022,24-06-2023,June,Payment Pending,Australia,37,Youth,Male,Smartphone,1 Month
205,Basic,12,30-Jul-22,Jul,2022,25-06-2023,June,Payment Pending,Germany,30,Youth,Male,Smart TV,1 Month
206,Premium,11,06-Aug-22,Aug,2022,25-06-2023,June,Payment Pending,France,40,Adult,Male,Smartphone,1 Month
207,Basic,15,16-Sep-22,Sep,2022,24-06-2023,June,Payment Pending,Brazil,45,Adult,Female,Smartphone,1 Month
208,Standard,15,05-Jan-23,Jan,2023,23-06-2023,June,Payment Pending,Mexico,36,Youth,Female,Tablet,1 Month
209,Premium,11,10-Dec-22,Dec,2022,24-06-2023,June,Payment Pending,Spain,41,Adult,Male,Laptop,1 Month
210,Basic,14,22-Nov-22,Nov,2022,26-06-2023,June,Active ,Italy,49,Adult,Female,Laptop,1 Month
211,Premium,15,15-Nov-22,Nov,2022,27-06-2023,June,Active ,United States,40,Adult,Male,Tablet,1 Month
212,Basic,11,28-Oct-22,Oct,2022,26-06-2023,June,Active ,Canada,36,Youth,Male,Smart TV,1 Month
213,Standard,12,08-Sep-22,Sep,2022,24-06-2023,June,Payment Pending,United Kingdom,49,Adult,Female,Smart TV,1 Month
214,Standard,13,30-Jun-22,Jun,2022,28-06-2023,June,Active ,Australia,43,Adult,Female,Laptop,1 Month
215,Basic,13,02-Sep-22,Sep,2022,27-06-2023,June,Active ,Germany,50,Adult,Female,Smartphone,1 Month
216,Premium,14,08-Oct-22,Oct,2022,24-06-2023,June,Payment Pending,France,51,Adult,Female,Smart TV,1 Month
217,Basic,15,13-Nov-22,Nov,2022,25-06-2023,June,Payment Pending,Brazil,44,Adult,Male,Smart TV,1 Month
218,Standard,12,15-Nov-22,Nov,2022,28-06-2023,June,Active ,Mexico,27,Youth,Male,Tablet,1 Month
219,Premium,12,16-Nov-22,Nov,2022,25-06-2023,June,Payment Pending,Spain,46,Adult,Female,Smartphone,1 Month
220,Basic,12,26-Nov-22,Nov,2022,27-06-2023,June,Active ,Italy,29,Youth,Male,Tablet,1 Month
221,Basic,12,26-Nov-22,Nov,2022,25-06-2023,June,Payment Pending,United States,47,Adult,Male,Smartphone,1 Month
222,Basic,10,12-Dec-22,Dec,2022,26-06-2023,June,Active ,Canada,48,Adult,Female,Smartphone,1 Month
223,Standard,12,08-Jan-23,Jan,2023,25-06-2023,June,Payment Pending,United Kingdom,34,Youth,Female,Smartphone,1 Month
224,Premium,15,27-Nov-22,Nov,2022,29-06-2023,June,Active ,Australia,40,Adult,Female,Smartphone,1 Month
225,Basic,14,11-Oct-22,Oct,2022,27-06-2023,June,Active ,Germany,48,Adult,Female,Smartphone,1 Month
226,Basic,10,27-Sep-22,Sep,2022,26-06-2023,June,Active ,France,35,Youth,Male,Smartphone,1 Month
